rep_number,start_angle,bottom_angle,end_angle,descent_time,ascent_time,depth,velocity_smoothness,rank
0,140.3,65.8,164.2,0.9,2.98,114,2,3.45
1,142.1,72.9,162.8,0.77,2.79,107,1,3.12
2,138.5,58.3,168.9,2.45,3.56,121,3,4.23
3,126.4,103.0,161.0,1.0,4.15,77,0,2.34
4,144.6,93.7,147.5,1.27,2.67,86,1,2.89
5,135.2,68.4,155.8,1.89,3.12,111,2,3.78
6,125.3,107.5,154.5,0.57,2.24,72,1,2.12
7,136.6,106.9,149.9,0.71,5.78,73,0,1.98
8,135.0,57.4,155.1,2.57,3.39,122,2,4.01
9,142.4,58.0,170.7,3.07,3.71,122,2,4.45
10,139.8,71.2,163.4,1.34,3.45,118,3,4.12
11,124.8,83.7,162.5,0.77,2.75,96,1,2.98
12,141.2,64.5,166.1,2.23,3.89,125,4,4.56
13,128.6,110.3,158.9,0.45,2.98,70,0,1.87
14,145.3,75.8,169.2,1.98,4.12,124,3,4.34
15,133.7,88.4,152.6,1.12,3.01,91,1,2.76
16,137.9,62.1,161.8,2.78,3.56,118,2,4.08
17,129.4,102.8,155.2,0.68,2.45,77,0,2.23
18,143.1,70.9,170.3,2.34,3.78,123,3,4.41
19,126.5,85.6,148.9,1.45,2.67,94,1,2.91
20,140.8,59.2,165.7,2.89,3.34,120,4,4.38
21,131.2,95.4,153.8,0.89,3.12,85,0,2.45
22,138.4,66.8,164.2,1.76,3.89,123,2,3.95
23,125.1,108.9,149.5,0.52,2.34,71,0,1.92
24,144.7,73.5,168.9,2.01,4.23,125,3,4.52
25,135.6,81.2,157.4,1.23,2.98,98,1,3.14
26,139.2,61.4,162.8,2.45,3.67,118,2,4.09
27,128.9,104.6,156.1,0.71,2.56,75,0,2.18
28,142.5,75.8,169.1,1.89,3.45,121,3,4.19
29,127.3,92.3,151.2,1.34,2.89,92,1,2.87
30,141.6,58.7,164.5,2.67,3.78,121,4,4.41
31,130.8,98.9,154.3,0.98,3.23,82,0,2.34
32,137.3,68.9,163.9,1.45,3.56,122,2,3.87
33,126.2,106.7,148.8,0.61,2.45,73,0,2.08
34,143.8,72.1,170.2,2.23,3.89,124,3,4.45
35,134.9,80.5,156.8,1.12,2.76,99,1,3.08
36,140.1,60.9,162.3,2.34,3.67,119,2,4.12
37,129.7,103.4,155.9,0.81,2.67,76,0,2.25
38,142.9,74.2,169.6,1.98,3.34,122,3,4.28
39,127.8,91.1,152.1,1.45,3.01,93,1,2.95
40,141.2,59.3,165.1,2.78,3.89,120,4,4.39
41,131.5,97.6,153.2,0.88,3.12,83,0,2.41
42,138.6,67.5,164.8,1.56,3.45,123,2,3.91
43,125.8,107.3,149.2,0.67,2.34,72,0,2.14
44,144.1,73.8,169.7,2.12,4.01,125,3,4.48
45,135.2,79.8,157.1,1.23,2.89,100,1,3.16
46,139.8,61.2,163.1,2.45,3.78,118,2,4.15
47,128.4,105.2,156.6,0.75,2.56,74,0,2.21
48,143.3,75.1,170.4,1.89,3.56,122,3,4.32
49,127.1,90.8,151.8,1.34,2.78,91,1,2.98
50,141.9,58.9,164.8,2.67,3.45,121,4,4.37
51,130.2,98.1,154.7,0.95,3.23,82,0,2.38
52,137.7,69.2,164.2,1.45,3.67,121,2,3.89
53,126.6,106.1,149.1,0.64,2.45,73,0,2.11
54,143.5,72.6,170.1,2.23,3.78,124,3,4.42
55,135.8,81.4,157.6,1.12,2.98,99,1,3.12
56,140.4,60.5,162.6,2.34,3.56,119,2,4.10
57,129.2,103.8,156.3,0.78,2.67,75,0,2.23
58,142.7,74.5,169.9,1.98,3.45,122,3,4.26
59,128.0,91.5,152.5,1.45,2.89,92,1,2.99
60,141.5,59.1,165.3,2.78,3.89,120,4,4.40
61,131.0,97.2,153.6,0.92,3.12,83,0,2.40
62,138.2,68.1,164.5,1.56,3.45,122,2,3.90
63,125.5,107.9,149.7,0.70,2.34,71,0,2.15
64,144.2,73.2,169.8,2.12,4.01,125,3,4.46
65,135.5,80.2,157.2,1.23,2.76,100,1,3.14
66,140.2,61.1,163.2,2.45,3.78,118,2,4.14
67,129.0,104.6,156.8,0.76,2.56,74,0,2.20
68,143.1,75.3,170.5,1.89,3.56,122,3,4.30
